 Rank | Team                           | Score      | Uncertainty
   51 | Rutgers                   |  56.544900 |   0.305803
   52 | Temple                    |  56.679900 |   0.335912
   53 | BYU                       |  56.895500 |   0.269863
   54 | Northern Illinois         |  57.155600 |   0.421563
   55 | Arkansas State            |  58.752400 |   0.331888
   56 | Arkansas                  |  58.901300 |   0.338497
   57 | Middle Tennessee          |  59.230300 |   0.265733
   58 | Cincinnati                |  59.546200 |   0.303440
   59 | Memphis                   |  59.711100 |   0.356608
   60 | Western Michigan          |  59.864400 |   0.315558
   61 | UCF                       |  60.189100 |   0.291535
   62 | Michigan                  |  61.313900 |   0.298678
   63 | North Carolina State      |  61.362700 |   0.326589
   64 | Texas State               |  61.611200 |   0.324932
   65 | Bowling Green             |  61.714200 |   0.313477
   66 | Oklahoma State            |  61.744600 |   0.394317
   67 | South Alabama             |  61.772300 |   0.338826
   68 | Tennessee                 |  62.153900 |   0.335729
   69 | North Carolina            |  62.305200 |   0.278545
   70 | Oregon State              |  62.705800 |   0.317786
   71 | Illinois                  |  62.739700 |   0.304986
   72 | Penn State                |  62.872600 |   0.277957
   73 | Texas                     |  63.462500 |   0.338399
   74 | Virginia                  |  66.238500 |   0.333546
   75 | Navy                      |  66.475800 |   0.319553
   76 | UTEP                      |  67.472700 |   0.308682
   77 | Wyoming                   |  67.520000 |   0.340603
   78 | South Carolina            |  67.758400 |   0.327370
   79 | San Diego State           |  67.902700 |   0.364706
   80 | Northwestern              |  67.988300 |   0.341799
   81 | UAB                       |  68.689800 |   0.246767
   82 | Pittsburgh                |  68.964600 |   0.339765
   83 | Virginia Tech             |  69.350700 |   0.292997
   84 | Ohio                      |  70.461000 |   0.313994
   85 | Central Michigan          |  70.640500 |   0.231388
   86 | Purdue                    |  71.050300 |   0.375326
   87 | Indiana                   |  71.272500 |   0.260051
   88 | Louisiana-Monroe          |  73.472800 |   0.364410
   89 | Syracuse                  |  73.523500 |   0.292377
   90 | Toledo                    |  74.575300 |   0.295266
   91 | New Mexico                |  74.782800 |   0.294599
   92 | Vanderbilt                |  76.156200 |   0.295660
   93 | Texas Tech                |  77.896900 |   0.300064
   94 | Akron                     |  77.979300 |   0.266589
   95 | Western Kentucky          |  78.270900 |   0.218327
   96 | Washington State          |  78.304600 |   0.355832
   97 | Florida Atlantic          |  78.526000 |   0.253880
   98 | Colorado                  |  78.595100 |   0.316924
   99 | South Florida             |  78.843900 |   0.325262
  100 | Connecticut               |  79.444900 |   0.337572
  101 | San Jose State            |  79.470800 |   0.313372
  102 | Fresno State              |  81.938900 |   0.340850
  103 | Tulane                    |  82.762700 |   0.298194
  104 | Wake Forest               |  82.938400 |   0.366492
  105 | Kansas                    |  83.034500 |   0.295359
  106 | Hawaii                    |  83.168000 |   0.335982
  107 | Old Dominion              |  83.527700 |   0.279753
  108 | Army                      |  84.115900 |   0.316618
  109 | Southern Miss             |  85.099200 |   0.328463
  110 | North Texas               |  86.143400 |   0.283901
  111 | Buffalo                   |  87.033900 |   0.259958
  112 | Idaho                     |  88.159200 |   0.288154
  113 | UNLV                      |  89.087800 |   0.282431
  114 | Eastern Michigan          |  89.705600 |   0.238769
  115 | Tulsa                     |  90.425100 |   0.335775
  116 | UTSA                      |  91.694800 |   0.297934
  117 | Massachusetts             |  91.717800 |   0.226176
  118 | SMU                       |  92.161900 |   0.288221
  119 | Louisiana Tech            |  92.996200 |   0.118831
  120 | Kent State                |  95.924600 |   0.247314
  121 | New Mexico State          |  97.855100 |   0.269092
  122 | Georgia State             |  99.607300 |   0.234892
  123 | Ball State                | 103.675100 |   0.100132
  124 | Florida International     | 113.842100 |   0.085085
  125 | Iowa State                | 114.137700 |   0.077263
  126 | Miami (Ohio)              | 114.565900 |   0.074526
  127 | Appalachian State         | 117.338700 |   0.075448
  128 | Troy                      | 122.727500 |   0.042509
