 Rank | Team                           | Score      | Uncertainty
   77 | Idaho                     |  66.789100 |   0.385075
   78 | Akron                     |  66.860100 |   0.366149
   79 | Wake Forest               |  66.927700 |   0.377883
   80 | Stanford                  |  66.938000 |   0.322125
   81 | San Jose State            |  66.968700 |   0.458014
   82 | Memphis                   |  67.013300 |   0.300552
   83 | Eastern Michigan          |  67.090200 |   0.323861
   84 | Old Dominion              |  67.119700 |   0.353066
   85 | Oklahoma State            |  67.180700 |   0.343393
   86 | Wisconsin                 |  67.201500 |   0.391154
   87 | South Florida             |  67.274800 |   0.385250
   88 | Virginia                  |  67.351300 |   0.318005
   89 | Western Michigan          |  67.383400 |   0.401136
   90 | Toledo                    |  67.415700 |   0.434803
   91 | Houston                   |  67.431200 |   0.365011
   92 | Georgia Southern          |  67.431400 |   0.359708
   93 | Ball State                |  67.486400 |   0.367402
   94 | Clemson                   |  67.512700 |   0.508806
   95 | Air Force                 |  67.523600 |   0.358548
   96 | UCF                       |  67.550700 |   0.438134
   97 | Rice                      |  67.591200 |   0.372554
   98 | Utah State                |  67.596000 |   0.338536
   99 | San Diego State           |  67.673800 |   0.361564
  100 | Bowling Green             |  67.679400 |   0.361963
  101 | Buffalo                   |  67.699800 |   0.377401
  102 | Appalachian State         |  67.733500 |   0.287747
  103 | Middle Tennessee          |  67.748600 |   0.339340
  104 | Michigan State            |  67.785100 |   0.368196
  105 | Southern Miss             |  67.794400 |   0.311452
  106 | Connecticut               |  67.860100 |   0.381925
  107 | Miami (Fla.)              |  67.892100 |   0.270072
  108 | UNLV                      |  68.002900 |   0.358742
  109 | Louisiana-Lafayette       |  68.050600 |   0.377355
  110 | Arkansas                  |  68.060400 |   0.375938
  111 | West Virginia             |  68.146700 |   0.419544
  112 | East Carolina             |  68.521000 |   0.366797
  113 | Georgia State             |  68.579500 |   0.395015
  114 | Florida Atlantic          |  71.455000 |   0.362893
  115 | Vanderbilt                |  71.657600 |   0.334412
  116 | Washington State          |  71.724800 |   0.266793
  117 | New Mexico                |  72.248800 |   0.350838
  118 | Fresno State              |  72.315500 |   0.325480
  119 | Hawaii                    |  72.324000 |   0.205797
  120 | Kent State                |  72.344700 |   0.336768
  121 | Troy                      |  72.357800 |   0.324699
  122 | Tulane                    |  72.364900 |   0.304903
  123 | SMU                       |  72.715700 |   0.333936
  124 | Massachusetts             |  72.753100 |   0.310291
  125 | Northwestern              |  72.895900 |   0.330261
  126 | Iowa State                | 125.000000 |   0.000000
  127 | Florida International     | 126.000000 |   0.000000
  128 | Miami (Ohio)              | 127.000000 |   0.000000
